epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.41542840003967285,9.999999747378752e-05,1.3282424211502075,0.5162721872329712,1.0600041151046753
1,0.5011065602302551,9.999999747378752e-05,1.1363462209701538,0.5754438042640686,0.9612226486206055
2,0.5545368194580078,9.999999747378752e-05,1.0277563333511353,0.61834317445755,0.9031355977058411
3,0.6076509356498718,9.999999747378752e-05,0.9353697896003723,0.6464496850967407,0.8585373759269714
4,0.6190325617790222,9.999999747378752e-05,0.9051914811134338,0.6568047404289246,0.8145229816436768
5,0.6370534300804138,9.999999747378752e-05,0.8842490315437317,0.6775147914886475,0.7855320572853088
6,0.657919704914093,9.999999747378752e-05,0.8404027819633484,0.6952662467956543,0.7535985708236694
7,0.6705659031867981,9.999999747378752e-05,0.8273038864135742,0.7130177617073059,0.7493343353271484
8,0.6617135405540466,9.999999747378752e-05,0.8372113704681396,0.7292899489402771,0.7136279940605164
9,0.6775213479995728,9.999999747378752e-05,0.8250647187232971,0.7337278127670288,0.7060174345970154
10,0.6892191171646118,9.999999747378752e-05,0.7797409892082214,0.7337278127670288,0.7005866765975952
11,0.6835283041000366,9.999999747378752e-05,0.791995108127594,0.7440828680992126,0.6847143769264221
12,0.691748321056366,9.999999747378752e-05,0.7688841819763184,0.7396449446678162,0.6829304695129395
13,0.6923806667327881,9.999999747378752e-05,0.773575484752655,0.7411242723464966,0.6681873202323914
14,0.6949098706245422,9.999999747378752e-05,0.762540876865387,0.7470414042472839,0.6579369306564331
15,0.7239962220191956,9.999999747378752e-05,0.7276292443275452,0.75,0.657852292060852
16,0.6999683976173401,9.999999747378752e-05,0.7708423137664795,0.7544378638267517,0.6483742594718933
17,0.7066076397895813,9.999999747378752e-05,0.7466911673545837,0.7544378638267517,0.6382312178611755
18,0.7107176780700684,9.999999747378752e-05,0.7436290383338928,0.7573964595794678,0.6455285549163818
19,0.7154600024223328,9.999999747378752e-05,0.7320754528045654,0.7544378638267517,0.6321800351142883
20,0.7126145958900452,9.999999747378752e-05,0.7283434271812439,0.7514792680740356,0.642809271812439
21,0.7296870350837708,9.999999747378752e-05,0.6943009495735168,0.7559171319007874,0.6305244565010071
22,0.7170407772064209,9.999999747378752e-05,0.7219024300575256,0.7573964595794678,0.6155410408973694
23,0.7388555407524109,9.999999747378752e-05,0.7017113566398621,0.7573964595794678,0.609882116317749
24,0.7293708324432373,9.999999747378752e-05,0.7042889595031738,0.7544378638267517,0.6219910979270935
25,0.7290546894073486,9.999999747378752e-05,0.6968021392822266,0.7544378638267517,0.6329622268676758
26,0.7350616455078125,9.999999747378752e-05,0.6914305090904236,0.7588757276535034,0.6084293127059937
27,0.7309516072273254,9.999999747378752e-05,0.6960263848304749,0.7573964595794678,0.6194311380386353
28,0.7246285080909729,9.999999747378752e-05,0.7014657855033875,0.7618343234062195,0.6022224426269531
29,0.7274739146232605,9.999999747378752e-05,0.7212405800819397,0.7603550553321838,0.6195909380912781
30,0.7375909090042114,9.999999747378752e-05,0.671558141708374,0.7559171319007874,0.6275374889373779
31,0.7382231950759888,9.999999747378752e-05,0.6910971403121948,0.7603550553321838,0.621302604675293
32,0.7334808707237244,9.999999747378752e-05,0.6888415217399597,0.7618343234062195,0.6249862909317017
33,0.7448624968528748,9.999999747378752e-05,0.666350781917572,0.7559171319007874,0.6101084351539612
34,0.736326277256012,4.999999873689376e-05,0.6469786763191223,0.7573964595794678,0.6106560230255127
35,0.7442301511764526,4.999999873689376e-05,0.6623556017875671,0.7647929191589355,0.6115996241569519
36,0.7334808707237244,4.999999873689376e-05,0.6750226616859436,0.7588757276535034,0.611677885055542
37,0.7293708324432373,4.999999873689376e-05,0.6746186017990112,0.7544378638267517,0.6073481440544128
38,0.7458109259605408,4.999999873689376e-05,0.6618193984031677,0.7618343234062195,0.6184624433517456
